char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword	~
芮	140 艸⺿	4422.7	TOB	廿人月	53180.090	1020.160					tiny: Phonosemantic compound. 艹 represents the meaning and 内 represents the sound.
芯	140 艸⺿	4433.0	TP	廿心	53185.010	1020.170					pith from rush (juncus effusus): The heart 心 of a plant 艹; 心 also provides the pronunciation
芰	140 艸⺿	4440.7	TJE	廿十水	53178.080	1020.180					water caltrop
花	140 艸⺿	4421.4	TOP	廿人心	53181.070	1020.210	772	flower	833	flower	flower: Phonosemantic compound. 艹 represents the meaning and 化 represents the sound.
芲	140 艸⺿		XTOP	難廿人心	53182.090	1021.010					old variant of 花[huā]
芳	140 艸⺿	4422.7	TYHS	廿卜竹尸	53184.060	1021.020	1699	aromatic	1729	aromatic	fragrant: Phonosemantic compound. 艹 represents the meaning and 方 represents the sound.
芴	140 艸⺿	4422.7	TPHH	廿心竹竹	53183.080	1021.030					
芵	140 艸⺿	4453.0	TDK	廿木大	53185.030	1021.040					
芶	140 艸⺿	4472.7	TPI	廿心戈	53184.010	1021.050					
芷	140 艸⺿	4410.1	TYLM	廿卜中一	53180.040	1021.060					angelica
芸	140 艸⺿	4473.1	TMMI	廿一一戈	53178.040	1021.070					Japanese variant of 藝|艺[yì]: Phonosemantic compound. 艹 represents the meaning and 云 represents the sound. Simplified form of 蕓.
芹	140 艸⺿	4422.1	THML	廿竹一中	53182.030	1021.080	2123	celery	2185	celery	celery: Phonosemantic compound. 艹 represents the meaning and 斤 represents the sound.
芺	140 艸⺿	4443.0	THK	廿竹大	53181.040	1021.090					
芻	140 艸⺿	2742.7	PUPU	心山心山	10260.010	1021.100					mow, cut grass: Pictograph of a hand picking off blades of grass.
芼	140 艸⺿	4471.4	THQU	廿竹手山	53181.020	1021.110					to choose
芽	140 艸⺿	4424.1	TMVH	廿一女竹	53179.130	1021.130	2782	sprout	2842	sprout	bud: Phonosemantic compound. 艹 represents the meaning and 牙 represents the sound.
芾	140 艸⺿	4422.7	TJB	廿十月	53178.060	1021.140					flower
芿	140 艸⺿		TONS	廿人弓尸	53182.020	1021.150					grass which has been cut and regrown
苀	140 艸⺿	4421.7	TYHN	廿卜竹弓	53184.050	1021.170					
苁	140 艸⺿	4488	TOO	廿人人	53182.070	1022.070					medicinal herb
苂	140 艸⺿	4480.9	TF	廿火	53184.070	1022.080					
苃	140 艸⺿	4444.7	TKE	廿大水	53179.090	1022.140					
苄	140 艸⺿	4423	TYY	廿卜卜	53184.030	1022.181					benzyl
苅	140 艸⺿	4442.0	TKLN	廿大中弓	53182.050	1022.181					
苆	140 艸⺿		TPSH	廿心尸竹	53180.011	1022.181					
苇	140 艸⺿	4452	TQS	廿手尸	53178.030	1022.181					reed: Phonosemantic compound. 艹 represents the meaning and 韦 represents the sound. Simplified form of 葦.
苈	140 艸⺿	4422	XTMKS	難廿一大尸	53179.070	1022.181					a kind of plant
苉	140 艸⺿		TSC	廿尸金	53179.100	1022.181					
苊	140 艸⺿	4421	TMSU	廿一尸山	53179.110	1022.181					an organic compound
苋	140 艸⺿	4421	TBHU	廿月竹山	53180.100	1022.181					Chinese spinach: Phonosemantic compound. 艹 represents the meaning and 见 represents the sound. Simplified form of 莧.
苌	140 艸⺿	4473	TPO	廿心人	53181.041	1022.181					star fruit
苍	140 艸⺿	4471	TOSU	廿人尸山	53183.040	1022.181			2455	ash-colored	blue: Phonosemantic compound. 艹 represents the meaning and 仓 represents the sound. Simplified form of 蒼.
苎	140 艸⺿	4410	TJM	廿十一	53184.071	1022.181					china grass
苏	140 艸⺿	4433	TKSC	廿大尸金	53185.070	1022.181			745	revive	revive: Simplified form of 蘇.  Phonosemantic compound. 艹 represents the meaning and 穌 represents the sound.
苐	140 艸⺿		TNLH	廿弓中竹	53197.100	1022.190					
苑	140 艸⺿	4421.2	TNIU	廿弓戈山	53195.050	1022.210					pasture: Phonosemantic compound. 艹 represents the meaning and 夗 represents the sound.
苒	140 艸⺿	4455.7	TGB	廿土月	53191.040	1022.230					lush
苓	140 艸⺿	4430.7	TOII	廿人戈戈	53194.070	1022.240					fungus: Phonosemantic compound. 艹 represents the meaning and 令 represents the sound.
苔	140 艸⺿	4460.3	TIR	廿戈口	53198.070	1022.250					moss: Phonosemantic compound. 艹 represents the meaning and 台 represents the sound.
苕	140 艸⺿	4460.2	TSHR	廿尸竹口	53198.040	1022.260					rush plant
苖	140 艸⺿	4460.0	TLW	廿中田	53191.030	1022.270					
苗	140 艸⺿	4460.0	TW	廿田	53191.020	1022.280	221	seedling	235	seedling	sprouts: Sprouts are plants (艹) that rise from the field (田).
苘	140 艸⺿	4422	TBR	廿月口	53192.060	1022.300					Indian mallow
苙	140 艸⺿	4410.8	TYT	廿卜廿	53196.010	1022.310					a pig-sty
苚	140 艸⺿		TBQ	廿月手	53194.080	1022.320					
苛	140 艸⺿	4462.1	TMNR	廿一弓口	53187.030	1022.330	1562	exacting	1582	exacting	severe: Phonosemantic compound. 艹 represents the meaning and 可 represents the sound.
苜	140 艸⺿	4460.0	TBU	廿月山	53190.040	1023.020					clover: Phonosemantic compound. 艹 represents the meaning and 目 represents the sound.
苝	140 艸⺿		TLMP	廿中一心	53189.050	1023.030					
苞	140 艸⺿	4471.2	TPRU	廿心口山	53195.060	1023.040					a variety of rush: A flower 艹 unfolding 包; 包 also provides the pronunciation
苟	140 艸⺿	4462.7	TPR	廿心口	53194.120	1023.050			1581	careless	careless: Phonosemantic compound. 艹 represents the meaning and 句 represents the sound.
苠	140 艸⺿	4474.7	TRVP	廿口女心	53197.090	1023.070					
苡	140 艸⺿	4418.0	TVIO	廿女戈人	53185.090	1023.080					barley
苢	140 艸⺿		TRLR	廿口中口	53192.040	1023.090					
苣	140 艸⺿	4471.7	TSS	廿尸尸	53179.120	1023.100					kind of lettuce: Phonosemantic compound. 艹 represents the meaning and 巨 represents the sound.
苤	140 艸⺿	4410.9	TMFM	廿一火一	53187.060	1023.110					kohl rabi
若	140 艸⺿	4460.4	TKR	廿大口	53187.070	1023.120	212	as if	226	as if	if: Pictograph of a kneeling person smoothing out their unkempt hair with their hands. Based on the original meaning "conform, obey". The 口 (mouth) component was added later when the character became more abstract.
苦	140 艸⺿	4460.4	TJR	廿十口	53186.020	1023.160	214	suffering	229	suffering	bitter: Phonosemantic compound. 艹 represents the meaning and 古 represents the sound.
苧	140 艸⺿	4420.1	TJMN	廿十一弓	53196.040	1024.010					china grass
苨	140 艸⺿	4421.1	TSP	廿尸心	53197.070	1024.020					
苩	140 艸⺿		THA	廿竹日	53193.150	1024.030					
苪	140 艸⺿	4422.7	TMOB	廿一人月	53187.050	1024.040					bright
苫	140 艸⺿	4460.1	TYR	廿卜口	53189.060	1024.050					rush or straw matting
苬	140 艸⺿	4460.0	TWO	廿田人	53192.070	1024.060					
苭	140 艸⺿	4472.7	TVIS	廿女戈尸	53199.030	1024.070					
苮	140 艸⺿		TOU	廿人山	53193.140	1024.080					
苯	140 艸⺿	4423.4	TDM	廿木一	53187.010	1024.090					benzene: Phonosemantic compound. 艹 represents the meaning and 本 represents the sound.
苰	140 艸⺿	4423.2	TNI	廿弓戈	53197.120	1024.100					
英	140 艸⺿	4453.0	TLBK	廿中月大	53192.010	1024.110	1278	England	1325	England	hero, excellent; flower: Phonosemantic compound. 艹 represents the meaning and 央 represents the sound.
苲	140 艸⺿	4481.1	THS	廿竹尸	53193.060	1024.120					
苳	140 艸⺿	4430.3	THEY	廿竹水卜	53195.030	1024.140					
苴	140 艸⺿	4410.7	TBM	廿月一	53190.050	1024.160					sackcloth
苵	140 艸⺿	4453.0	THQO	廿竹手人	53193.040	1025.040					
苶	140 艸⺿	4490.8	TOF	廿人火	53194.040	1025.050					weary
苷	140 艸⺿	4477	TTM	廿廿一	53186.010	1025.070					licorice: A sweet 甘 plant 艹; 甘 also provides the pronunciation
苸	140 艸⺿		THFD	廿竹火木	53194.050	1025.090					
苹	140 艸⺿	4440.9	TMFJ	廿一火十	53189.040	1025.100			2529	apple	apple: Phonosemantic compound. 艹 represents the meaning and 平 represents the sound. Simplified form of 蘋.
苺	140 艸⺿	4450.7	TWYI	廿田卜戈	53199.020	1025.110					berries
苻	140 艸⺿	4424.0	TODI	廿人木戈	53193.120	1025.120					kind of herb
苼	140 艸⺿		THQM	廿竹手一	53193.030	1025.130					
苽	140 艸⺿		THVO	廿竹女人	53194.020	1025.140					
苾	140 艸⺿	4433.0	TPH	廿心竹	53197.030	1025.150					smell
苿	140 艸⺿		TJD	廿十木	53185.130	1025.170					
茀	140 艸⺿	4452.7	TLLN	廿中中弓	53197.110	1025.180					overgrown with grass
茁	140 艸⺿	4477.7	TUU	廿山山	53198.010	1025.190					to sprout: Sprouting 出 grass 艹; 出 also provides the pronunciation
茂	140 艸⺿	4425.3	TIH	廿戈竹	53188.020	1025.200	340	lush	367	lush	thick: Phonosemantic compound. 艹 represents the meaning and 戊 represents the sound.
范	140 艸⺿	4411.2	TESU	廿水尸山	53196.030	1026.010	3013	Fan	2445	model	surname Fan: Phonosemantic compound. 艹 represents the meaning and 氾 represents the sound. Simplified form of 範.
茄	140 艸⺿	4446.0	TKSR	廿大尸口	53198.030	1026.020	1928	eggplant	1991	eggplant	eggplant: Phonosemantic compound. 艹 represents the meaning and 加 represents the sound.
茅	140 艸⺿	4422.2	TNIH	廿弓戈竹	53199.010	1026.040	2209	thatch	2262	thatch	reeds: Phonosemantic compound. 艹 represents the meaning and 矛 represents the sound.
茆	140 艸⺿	4472.7	THHL	廿竹竹中	53195.020	1026.060					species of grass
茇	140 艸⺿	4444.7	TIKK	廿戈大大	53189.020	1026.070					grass
茈	140 艸⺿	4411.1	TYMP	廿卜一心	53202.130	1026.080					a plant yielding a red dye
茉	140 艸⺿	4490.4	TDJ	廿木十	53185.120	1026.090					white jasmine: Phonosemantic compound. 艹 represents the meaning and 末 represents the sound.
茊	140 艸⺿		TOM	廿人一	53193.110	1027.010					
茋	140 艸⺿		THPM	廿竹心一	53194.090	1027.040					
茌	140 艸⺿	4421.4	TOG	廿人土	53193.100	1027.050					name of a district in Shandong
茍	140 艸⺿	4462.7	TPR	廿心口	53195.010	1027.120					to be circumspect: Pictograph of a Qiang person kneeling down in respect. The 口 (mouth) component was added later since Qiang people were seen as slaves by the Shang people in ancient China. Original form of 敬.
茎	140 艸⺿	4410.4	TNOM	廿弓人一	53198.050	1027.201			2405	plant stem	stem
茏	140 艸⺿	4441	TIKP	廿戈大心	53189.010	1027.201					tall grass
茐	140 艸⺿		TPKK	廿心大大	53195.011	1027.201					
茑	140 艸⺿	4412	TPYM	廿心卜一	53195.040	1027.201					the convolvulus
茒	140 艸⺿		TNIL	廿弓戈中	53195.051	1027.201					
茔	140 艸⺿	4410	XTBG	難廿月土	10429.130 53197.010	1027.201					grave: Grass 艹 covering a buried 土 casket 冖
茕	140 艸⺿	4473	TBNJ	廿月弓十	53197.040	1027.201					alone
茖	140 艸⺿	4460.4	THER	廿竹水口	53207.110	1027.210					allium victorialis
茗	140 艸⺿	4460.7	TNIR	廿弓戈口	53208.010	1027.220					tea: Phonosemantic compound. 艹 represents the meaning and 名 represents the sound.
茘	140 艸⺿	4422.7	TSHH	廿尸竹竹	53212.040	1027.230					a scallion
茙	140 艸⺿	4445.3	TIJ	廿戈十	53199.070	1027.250					
茚	140 艸⺿	4472	THPL	廿竹心中	53194.100	1027.260					an organic compound
茛	140 艸⺿	4473.2	TAV	廿日女	53211.010	1027.270					ranunculus
茜	140 艸⺿	4460.1	TMCW	廿一金田	53200.120	1027.280					madder: Phonosemantic compound. 艹 represents the meaning and 西 represents the sound.
茝	140 艸⺿		TSLL	廿尸中中	53214.170	1027.330					
茞	140 艸⺿	4471.2	TSLL	廿尸中中	53200.070	1027.340					fragrant plant
茟	140 艸⺿		TLQ	廿中手	53210.180	1027.370					
茠	140 艸⺿	4429.4	TOD	廿人木	53205.070	1027.390					to weed
茡	140 艸⺿		XTJND	難廿十弓木	53210.110	1027.400					
茢	140 艸⺿	4422.0	TMNN	廿一弓弓	53201.090	1028.050					sedges
茣	140 艸⺿	4480.1	TRVK	廿口女大	53218.010 53219.070	1028.070					
茤	140 艸⺿	4420.7	TNIN	廿弓戈弓	53208.020	1028.080					
茥	140 艸⺿	4410.4	TGG	廿土土	53199.080	1028.090					
茦	140 艸⺿	4490.2	TDB	廿木月	53200.090	1028.100					thorns
茧	140 艸⺿	4413.6	TLMI	廿中一戈	53203.070	1028.120			1743	cocoon	cocoon: A silk cocoon 艹 spun by a worm 虫
茨	140 艸⺿	4418.2	TIMO	廿戈一人	53208.060	1028.130					thatching: Phonosemantic compound. 艹 represents the meaning and 次 represents the sound.
茩	140 艸⺿	4426.1	THMR	廿竹一口	53206.090	1028.140					
茪	140 艸⺿	4421.1	TFMU	廿火一山	53203.030	1028.150					
茫	140 艸⺿	4411.0	TEYV	廿水卜女	53210.080	1028.170	1695	boundless	1727	boundless	vast
茬	140 艸⺿	4421.4	TKLG	廿大中土	53201.020	1028.190					harvest: Phonosemantic compound. 艹 represents the meaning and 在 represents the sound.
茭	140 艸⺿	4440.8	TYCK	廿卜金大	53208.050	1028.210					an aquatic grass
茮	140 艸⺿		TYMF	廿卜一火	53202.120	1028.230					
茯	140 艸⺿	4423.4	TOIK	廿人戈大	53205.080	1028.240					china root
茰	140 艸⺿		TLWK	廿中田大	53203.050	1028.260					
茱	140 艸⺿	4490.4	THJD	廿竹十木	53204.110	1028.280					dogwood: Phonosemantic compound. 艹 represents the meaning and 朱 represents the sound.
茲	140 艸⺿	4473.2	TVII	廿女戈戈	53212.160	1028.290					now
茳	140 艸⺿	4411.1	TEM	廿水一	53210.070	1029.010					
茴	140 艸⺿	4460.0	TWR	廿田口	53204.060	1029.020					fennel: Phonosemantic compound. 艹 represents the meaning and 回 represents the sound.
茵	140 艸⺿	4460.0	TWK	廿田大	53204.040	1029.030					a cushion: Phonosemantic compound. 艹 represents the meaning and 因 represents the sound.
茶	140 艸⺿	4490.4	TOD	廿人木	53207.020	1029.040	243	tea	261	tea	tea: Phonosemantic compound. 艹 represents the meaning and 余 represents the sound.
茷	140 艸⺿	4425.3	TOI	廿人戈	53205.100	1029.050					flutter
茸	140 艸⺿	4440.1	TSJ	廿尸十	53200.030	1029.070					soft: Phonosemantic compound. 艹 represents the meaning and 耳 represents the sound.
茹	140 艸⺿	4446.0	TVR	廿女口	53211.110	1029.100					roots: Phonosemantic compound. 艹 represents the meaning and 如 represents the sound.
茺	140 艸⺿	4421.3	TYIU	廿卜戈山	53210.020	1029.110					
茻	140 艸⺿	2244.7	UUUU	山山山山	53211.080	1029.130					vegetation, overgrown weeds: Duplicate of 艸 (grass).
茼	140 艸⺿	4422.7	TBMR	廿月一口	53204.020	1029.140					Chrysanthemum coronarium
茽	140 艸⺿		TOL	廿人中	53206.030	1029.150					
茾	140 艸⺿		TMT	廿一廿	53199.060	1029.160					
茿	140 艸⺿	4411.7	TMNJ	廿一弓十	53200.010	1029.170					
荀	140 艸⺿	4462.7	TPA	廿心日	53207.080	1029.180					surname: Phonosemantic compound. 艹 represents the meaning and 旬 represents the sound.
荁	140 艸⺿	4410.6	TMAM	廿一日一	53200.060	1030.010					celery
荂	140 艸⺿	4412.7	TKMS	廿大一尸	53201.060	1030.040					
荃	140 艸⺿	4410.4	TOMG	廿人一土	53206.130	1030.050					aromatic herb: Phonosemantic compound. 艹 represents the meaning and 全 represents the sound.
荄	140 艸⺿	4480.2	TYVO	廿卜女人	53210.010	1030.060					roots: Phonosemantic compound. 艹 represents the meaning and 亥 represents the sound.
荅	140 艸⺿	4460.1	TOMR	廿人一口	53207.030	1030.080					small bean: Phonosemantic compound. 艹 represents the meaning and 合 represents the sound. Used as a variant of 答.
荆	18 刀刂⺈	4240	TTLN	廿廿中弓	10339.020 10349.160	1030.110					thorns: A plant 艹 armed with thorns 刂
荇	140 艸⺿	4422.1	THON	廿竹人弓	53206.100	1030.140					a water plant
荈	140 艸⺿	4425.0	TNIQ	廿弓戈手	53207.100	1030.150					
草	140 艸⺿	4440.6	TAJ	廿日十	53203.040	1030.170	213	grass	227	grass	grass: Phonosemantic compound. 艹 represents the meaning and 早 represents the sound.
荊	140 艸⺿	4440.0	TMTN	廿一廿弓	10339.021	1030.381					thorns
荋	140 艸⺿	4422.7	TMBL	廿一月中	53201.050	1031.010					
荌	140 艸⺿	4440.4	TJV	廿十女	53210.120	1031.020					
荍	140 艸⺿	4474.8	TVLK	廿女中大	53211.060	1031.030					buckwheat
荎	140 艸⺿	4410.4	TMIG	廿一戈土	53202.110	1031.040					
荏	140 艸⺿	4421.4	TOHG	廿人竹土	53206.040	1031.050					beans
荐	140 艸⺿	4424.7	TKLD	廿大中木	53201.040	1031.060			1876	recommend	recommend: Phonosemantic compound. 艹 represents the meaning and 存 represents the sound. Simplified form of 薦.  Based on the original meaning "pasture, straw mat". The current meaning is a phonetic loan.
荑	140 艸⺿	4453.2	TKN	廿大弓	53202.060	1031.070					sprouts
荒	140 艸⺿	4421.1	TYVU	廿卜女山	53209.020	1031.080	1693	wasteland	1725	wasteland	wasteland: Phonosemantic compound. 艹 represents the meaning and 巟 represents the sound.
荓	140 艸⺿	4444.1	TTT	廿廿廿	53210.050 53234.160	1031.180					
荔	140 艸⺿	4422.7	TKSS	廿大尸尸	53212.050	1031.210					lichee: Phonosemantic compound. 艹 represents the meaning and 劦 represents the sound. Simplified form of 茘.
荕	140 艸⺿		XTBKS	難廿月大尸	53207.060	1031.260					
荖	140 艸⺿	4441.1	TJKP	廿十大心	53199.090	1031.310					
荗	140 艸⺿		TIHI	廿戈竹戈	53201.080	1031.360					
荘	140 艸⺿	4411.4	TLMG	廿中一土	53208.021	1031.381					village
荙	140 艸⺿		XTYK	難廿卜大	53201.071	1031.381					plantago major
荚	140 艸⺿	4480	TKT	廿大廿	53202.040	1031.381					pods of leguminous plants: Phonosemantic compound. 艹 represents the meaning and 夹 represents the sound. Simplified form of 莢.
荛	140 艸⺿	4421	XTJPU	難廿十心山	53202.090	1031.381					fuel
荜	140 艸⺿	4440	TPPJ	廿心心十	53202.100	1031.381					species of bean: Phonosemantic compound. 艹 represents the meaning and 毕 represents the sound. Simplified form of 蓽.
荝	140 艸⺿		TBON	廿月人弓	53204.081	1031.381					
荞	140 艸⺿	4422	THKL	廿竹大中	53205.060	1031.381					buckwheat: A tall 乔 grass 艹; 乔 also provides the pronunciation
荟	140 艸⺿		TOMI	廿人一戈	53207.010	1031.381					luxuriant: Phonosemantic compound. 艹 represents the meaning and 会 represents the sound. Simplified form of 薈.
荠	140 艸⺿	4422	TYKL	廿卜大中	53208.040	1031.381					water-chestnuts
荡	140 艸⺿	4412	TENH	廿水弓竹	53210.100	1031.381			1757	licentious	to toss about: Hot water 汤 wiping out plant life 艹; 汤 also provides the pronunciation
荢	140 艸⺿		TJMD	廿十一木	53210.101	1031.381					
荣	140 艸⺿	4490	TBD	廿月木	21178.020 53210.130	1031.381			867	glory	flourish, glory: Simplified form of 榮.  Phonosemantic compound. 𤇾 represents the sound and 木 represents the meaning.
荤	140 艸⺿	4450	TBKQ	廿月大手	53210.140	1031.381					meat diet: Phonosemantic compound. 艹 represents the meaning and 军 represents the sound. Simplified form of 葷.
荥	140 艸⺿	4490	TBE	廿月水	31576.050 53210.150	1031.381					county in Henan
荦	140 艸⺿	4450	TBHQ	廿月竹手	31806.090 53210.160	1031.381					brindled ox
荧	140 艸⺿	4480	TBF	廿月火	32194.120 53210.170	1031.381					glimmer: Simplified form of 熒.  Depicts the glimmering fire light (火) from two torches crossing each other (𤇾).
荨	140 艸⺿	4434	XTSMI	難廿尸一戈	53210.190	1031.381					nettle: Phonosemantic compound. 艹 represents the meaning and 寻 represents the sound. Simplified form of 蕁.
荩	140 艸⺿	4430	TSOY	廿尸人卜	53211.020	1031.381					a kind of weed
荪	140 艸⺿	4449	XTNDF	難廿弓木火	53211.050	1031.381					aromatic grass: Phonosemantic compound. 艹 represents the meaning and 孙 represents the sound. Simplified form of 蓀.
荫	140 艸⺿	4422	TNLB	廿弓中月	53211.070	1031.381			1062	shady	shade: Shade 阴 provided by a tree 艹; 阴 also provides the pronunciation
荬	140 艸⺿	4480	TNYK	廿弓卜大	53212.100	1031.381					a plant name
荭	140 艸⺿	4411	TVMM	廿女一一	53212.110	1031.381					herb
荮	140 艸⺿	4414	XXXTV	難難難廿女	53212.120	1031.381					grass
药	140 艸⺿	4412	TVMI	廿女一戈	53212.130	1031.381			1100	medicine	medicine: Phonosemantic compound. 艹 represents the meaning and 约 represents the sound. Simplified form of 藥.
荰	140 艸⺿		TDG	廿木土	53215.010	1031.390					
荱	140 艸⺿		TSHU	廿尸竹山	53225.140	1031.400					
荲	140 艸⺿		TWG	廿田土	53217.120	1031.430					
荳	140 艸⺿	4410.8	TMRT	廿一口廿	53215.110	1032.010					beans
荴	140 艸⺿	4453.5	TQQO	廿手手人	53214.030	1032.040					
荵	140 艸⺿	4433.2	TSIP	廿尸戈心	53226.130	1032.060					polemonium
荶	140 艸⺿	4462.7	TRON	廿口人弓	53219.050	1032.100					
荷	140 艸⺿	4422.1	TOMR	廿人一口	53220.040	1032.130	2040	Holland	2101	Holland	lotus: Phonosemantic compound. 艹 represents the meaning and 何 represents the sound.
荸	140 艸⺿	4440.7	TJBD	廿十月木	53215.060	1032.140					water chestnut
荹	140 艸⺿		TYLH	廿卜中竹	53217.080	1032.160					
荺	140 艸⺿	4412.7	TGPM	廿土心一	53214.100	1032.170					
荻	140 艸⺿	4428.9	TKHF	廿大竹火	53223.120	1032.180					reed
荼	140 艸⺿	4490.4	TOMD	廿人一木	53221.110	1032.210					bitter vegetable: Phonosemantic compound. 艹 represents the meaning and 余 represents the sound.
荽	140 艸⺿	4440.4	TBV	廿月女	53222.050	1032.220					coriander
荾	140 艸⺿	4440.7	TICE	廿戈金水	53227.020	1032.230					
荿	140 艸⺿	4425.3	TIHS	廿戈竹尸	53202.020	1032.240					
莀	140 艸⺿		XTMMV	難廿一一女	53216.010	1032.250					
莁	140 艸⺿	4410.8	TMOO	廿一人人	53215.030	1032.260					
莂	140 艸⺿		TRSN	廿口尸弓	53219.100	1033.040					
莃	140 艸⺿	4422.7	TKKB	廿大大月	53222.020	1033.050					
莄	140 艸⺿		TMLK	廿一中大	53215.090	1033.100					
莅	140 艸⺿	4421.8	TOYT	廿人卜廿	53221.040	1033.110					attend: A place 位 where grass 艹 grows; 立 also provides the pronunciation
莆	140 艸⺿	4422.7	TIJB	廿戈十月	53215.080	1033.120					a kind of legendary tree
莇	140 艸⺿	4412.7	TBMS	廿月一尸	53218.040	1033.130					
莈	140 艸⺿	4434.7	TENE	廿水弓水	53225.020	1033.180					
莉	140 艸⺿	4492.0	THDN	廿竹木弓	53219.170	1033.210	3022	jasmine	3010	jasmine	jasmine: Phonosemantic compound. 艹 represents the meaning and 利 represents the sound.
莊	140 艸⺿	4421.4	TVMG	廿女一土	53226.050	1033.220	918	hamlet			village, farmstead: Phonosemantic compound. 艹 represents the meaning and 壯 represents the sound.
莋	140 艸⺿	4421.1	TOHS	廿人竹尸	53221.020	1033.280					
莌	140 艸⺿	4421.6	TCRU	廿金口山	53224.020	1033.300					
莍	140 艸⺿	4423.2	TIJE	廿戈十水	53215.050	1033.310					
莎	140 艸⺿	4412.9	TEFH	廿水火竹	53224.090	1033.320					kind of sedge grass: Phonosemantic compound. 艹 represents the meaning and 沙 represents the sound.
莏	140 艸⺿	4452.9	TQFH	廿手火竹	53214.050	1033.330					
莐	140 艸⺿	4411.2	TELU	廿水中山	53225.030	1033.350					
莑	140 艸⺿		THEJ	廿竹水十	53223.140	1034.020					
莒	140 艸⺿	4460.6	TRHR	廿口竹口	53204.030	1034.030					hemp-like plant
莓	140 艸⺿	4450.7	TOWY	廿人田卜	53220.030	1034.040					moss: Phonosemantic compound. 艹 represents the meaning and 每 represents the sound.
莔	140 艸⺿	4460.0	TWCB	廿田金月	53219.120	1034.050					
莕	140 艸⺿	4460.9	TDR	廿木口	53215.020	1034.070					a water plant
莖	140 艸⺿	4410.1	TMVM	廿一女一	53217.070	1034.090	2339	plant stem			stem: Phonosemantic compound. 艹 represents the meaning and 巠 represents the sound.
莗	140 艸⺿	4450.0	TJWJ	廿十田十	53215.070	1034.100					
莘	140 艸⺿	4440.1	TYTJ	廿卜廿十	53224.010	1034.130					long
莙	140 艸⺿	4460.7	TSKR	廿尸大口	53225.120	1034.140					species of water plant
莚	140 艸⺿	4440.1	TNKM	廿弓大一	53206.020	1034.160					bamboo mat
莛	140 艸⺿	4440.1	TNKG	廿弓大土	53205.040	1034.170					stalks of grasses
莜	140 艸⺿	4424	TOLK	廿人中大	53220.050	1034.180					Avena nuda
莝	140 艸⺿	4410.4	TOOG	廿人人土	53222.030	1034.190					to chop straw fine for animals
莞	140 艸⺿	4421.1	TJMU	廿十一山	53225.050	1034.200					smiling
莟	140 艸⺿	4460.2	XTOIR	難廿人戈口	53222.060	1034.210					
莠	140 艸⺿	4422.7	THDS	廿竹木尸	53220.010	1034.220					weeds: Phonosemantic compound. 艹 represents the meaning and 秀 represents the sound.
莡	140 艸⺿		TRYO	廿口卜人	53219.010	1035.010					
莢	140 艸⺿	4490.8	TKOO	廿大人人	53216.120	1035.040					pods of leguminous plants: Phonosemantic compound. 艹 represents the meaning and 夾 represents the sound.
莣	140 艸⺿	4433.1	TYVP	廿卜女心	53224.011	1035.050					
莤	140 艸⺿	4460.1	TMCW	廿一金田	53215.130	1035.060					
莥	140 艸⺿	4421.5	TKHG	廿大竹土	53223.130	1035.070					
莦	140 艸⺿	4422.7	TFB	廿火月	53217.100	1035.080					
莧	140 艸⺿	4421.6	TBUU	廿月山山	53218.030	1035.090					Chinese spinach: Phonosemantic compound. 艹 represents the meaning and 見 represents the sound.
莨	140 艸⺿	4473.2	TIAV	廿戈日女	53225.110	1035.100					herb
莩	140 艸⺿	4440.7	TBND	廿月弓木	53222.040	1035.110					membrane lining inside of reed
莪	140 艸⺿	4455.3	THQI	廿竹手戈	53219.150	1035.120					artemisia
莫	140 艸⺿	4443.0	TAK	廿日大	53217.150	1035.130	217	nobody	231	nobody	do not: Depicts the sun (日) shining through vegetation (茻). Based on the original meaning "sunset", now written as 暮. The current meaning is a phonetic loan.
莬	140 艸⺿		TNAU	廿弓日山	53237.090	1035.230					
莭	140 艸⺿		TAIL	廿日戈中	53251.050	1035.240					
莮	140 艸⺿	4442.7	TWKS	廿田大尸	53219.020	1036.050					
莯	140 艸⺿	4439.4	TED	廿水木	53224.060	1036.401					
莰	140 艸⺿	4418.2	TGNO	廿土弓人	53214.090	1036.401					
莱	140 艸⺿	4490.8	TDT	廿木廿	53217.030	1036.401			2045	lambsquarters	goosefoot weed: Phonosemantic compound. 艹 represents the meaning and 来 represents the sound. Simplified form of 萊.
莲	140 艸⺿	4430	TYKQ	廿卜大手	53217.050	1036.401			302	lotus	lotus: Phonosemantic compound. 艹 represents the meaning and 连 represents the sound. Simplified form of 蓮.
莳	140 艸⺿	4464	TADI	廿日木戈	53217.140	1036.401					transplant: Phonosemantic compound. 艹 represents the meaning and 时 represents the sound. Simplified form of 蒔.
莴	140 艸⺿	4422	TROB	廿口人月	53219.040	1036.401					lettuce
莵	140 艸⺿	4441.3	XTHAI	難廿竹日戈	53221.071	1036.401					
莶	140 艸⺿	4410	XTOMM	難廿人一一	53222.021	1036.401					
获	140 艸⺿	4428	TKHK	廿大竹大	53223.090	1036.401			245	seize	obtain: Simplified form of 獲 and 穫.  Phonosemantic compound. 犭 represents the meaning and 蒦 represents the sound.
